HSNCode,CGSTRate,SGSTRate,IGSTRate
5808,6,6,12
5809,6,6,12
5810,6,6,12
5811,6,6,12
5901,6,6,12
5902,6,6,12
5903,6,6,12
5904,6,6,12
5905,6,6,12
5906,6,6,12
5907,6,6,12
5908,6,6,12
5909,6,6,12
5910,6,6,12
5911,6,6,12
61,6,6,12
62,6,6,12
63,6,6,12
6501,6,6,12
6505,6,6,12
6601,6,6,12
6602,6,6,12
6603,6,6,12
6701,6,6,12
68,6,6,12
6802,6,6,12
6909,6,6,12
6911,6,6,12
6912,6,6,12
6913,6,6,12
7015 10,6,6,12
7020,6,6,12
7310,6,6,12
7326,6,6,12
7317,6,6,12
7319,6,6,12
7321,6,6,12
7323,6,6,12
7418,6,6,12
7419 99 30,6,6,12
7615,6,6,12
8211,6,6,12
8214,6,6,12
8215,6,6,12
8306,6,6,12
8401,6,6,12
8408,6,6,12
8413,6,6,12
8414 20 10,6,6,12
8414 20 20,6,6,12
8414 90 12,6,6,12
8420,6,6,12
8424,6,6,12
8424,6,6,12
8432,6,6,12
8433,6,6,12
8434,6,6,12
8436,6,6,12
8452,6,6,12
8479,6,6,12
8525 60,6,6,12
8539,6,6,12
8601,6,6,12
8602,6,6,12
8603,6,6,12
8604,6,6,12
8605,6,6,12
8606,6,6,12
8607,6,6,12
8608,6,6,12
87,6,6,12
8701,6,6,12
8710,6,6,12
8712,6,6,12
8714,6,6,12
8716 20 00,6,6,12
8716 80,6,6,12
90,6,6,12
90,6,6,12
9001,6,6,12
9003,6,6,12
9004,6,6,12
9017 20,6,6,12
9018,6,6,12
9019,6,6,12
9020,6,6,12
9021,6,6,12
9022,6,6,12
9403,6,6,12
9404,6,6,12
9404,6,6,12
9404,6,6,12
9405,6,6,12
9405 50 31,6,6,12
9405,6,6,12
9405,6,6,12
9503,6,6,12
9504,6,6,12
9506,6,6,12
9507,6,6,12
9601,6,6,12
9607,6,6,12
9607,6,6,12
9608,6,6,12
9608,6,6,12
9609,6,6,12
9615,6,6,12
9619 00 30,6,6,12
9619 00 40,6,6,12
9619 00 90,6,6,12
9701,6,6,12
9702,6,6,12
9703,6,6,12
9705,6,6,12
9706,6,6,12
9804,6,6,12
3406,6,6,12
4202 22,6,6,12
4202 29,6,6,12
4202 31 10,6,6,12
4202 31 90,6,6,12
4202 32,6,6,12
4202 39,6,6,12
4416,6,6,12
4421 99 90,6,6,12
4414 00 00,6,6,12
4420,6,6,12
4503 90 90,6,6,12
4504 90,6,6,12
6117,6,6,12
6214,6,6,12
6802,6,6,12
6815 99 90,6,6,12
6912 00 10,6,6,12
6912 00 20,6,6,12
6913 90 00,6,6,12
7009 92 00,6,6,12
7018 90 10,6,6,12
7020 00 90,6,6,12
7326 90 99,6,6,12
7419 99,6,6,12
7616 99 90,6,6,12
8306,6,6,12
9405 10,6,6,12
9401 50,6,6,12
9403 80,6,6,12
9503,6,6,12
9504,6,6,12
9601,6,6,12
9602,6,6,12
9701,6,6,12
9703,6,6,12
Any Chapter,6,6,12
1107,9,9,18
1302,9,9,18
1404 90 10,9,9,18
1404 90 50,9,9,18
1517 10,9,9,18
1520 00 00,9,9,18
1521,9,9,18
1522,9,9,18
1702,9,9,18
1704,9,9,18
1804,9,9,18
1805,9,9,18
1806,9,9,18
1901,9,9,18
1904,9,9,18
1905,9,9,18
2101 11,9,9,18
2101 12 00,9,9,18
2101 20,9,9,18
2104,9,9,18
2105 00 00,9,9,18
2106,9,9,18
2201,9,9,18
2202 91 00,9,9,18
2202 99 90,9,9,18
2207,9,9,18
2209,9,9,18
2515 12 20,9,9,18
2515 12 90,9,9,18
2516 12 00,9,9,18
2619,9,9,18
2620,9,9,18
2621,9,9,18
2706,9,9,18
2707,9,9,18
2708,9,9,18
2710,9,9,18
2711,9,9,18
2712,9,9,18
2713,9,9,18
2714,9,9,18
2715,9,9,18
28,9,9,18
29,9,9,18
30,9,9,18
3102,9,9,18
3103,9,9,18
3104,9,9,18
3105,9,9,18
3201,9,9,18
3202,9,9,18
3203,9,9,18
3204,9,9,18
3205,9,9,18
3206,9,9,18
3207,9,9,18
3208,9,9,18
3214,9,9,18
3209,9,9,18
3210,9,9,18
3211 00 00,9,9,18
3212,9,9,18
3213,9,9,18
3301,9,9,18
3302,9,9,18
3303,9,9,18
3304,9,9,18
3305,9,9,18
3306,9,9,18
3307,9,9,18
3401,9,9,18
3402,9,9,18
3403,9,9,18
3404,9,9,18
3405,9,9,18
3407,9,9,18
3501,9,9,18
3502,9,9,18
3503,9,9,18
3504,9,9,18
3505,9,9,18
3506,9,9,18
3507,9,9,18
3601,9,9,18
3602,9,9,18
3603,9,9,18
3604,9,9,18
3606,9,9,18
3701,9,9,18
3702,9,9,18
3703,9,9,18
3704,9,9,18
3706,9,9,18
3707,9,9,18
3801,9,9,18
3802,9,9,18
3803 00 00,9,9,18
3804,9,9,18
3805,9,9,18
3806,9,9,18
3807,9,9,18
3808,9,9,18
3809,9,9,18
3810,9,9,18
3811,9,9,18
3812,9,9,18
3813,9,9,18
3814,9,9,18
3815,9,9,18
3816,9,9,18
3817,9,9,18
3818,9,9,18
3819,9,9,18
3820,9,9,18
3821,9,9,18
3823,9,9,18
3824,9,9,18
3825,9,9,18
3901,9,9,18
3902,9,9,18
3903,9,9,18
3904,9,9,18
3905,9,9,18
3906,9,9,18
3907,9,9,18
3908,9,9,18
3909,9,9,18
3910,9,9,18
3911,9,9,18
3912,9,9,18
3913,9,9,18
3914,9,9,18
3916,9,9,18
3917,9,9,18
3918,9,9,18
3919,9,9,18
3920,9,9,18
3921,9,9,18
3922,9,9,18
3923,9,9,18
3924,9,9,18
3925,9,9,18
3926,9,9,18
4002,9,9,18
4003,9,9,18
4004,9,9,18
4005,9,9,18
4006,9,9,18
4007,9,9,18
4008,9,9,18
4009,9,9,18
4010,9,9,18
4011,9,9,18
4012,9,9,18
4013,9,9,18
4014,9,9,18
4015,9,9,18
4016,9,9,18
4017,9,9,18
4201,9,9,18
4202,9,9,18
4203,9,9,18
4205,9,9,18
4206,9,9,18
4301,9,9,18
4302,9,9,18
4303,9,9,18
4304,9,9,18
4403,9,9,18
4407,9,9,18
4408,9,9,18
4409,9,9,18
4410,9,9,18
4411,9,9,18
4412,9,9,18
4413,9,9,18
4414,9,9,18
4418,9,9,18
4421,9,9,18
44,9,9,18
44,9,9,18
4501,9,9,18
4803,9,9,18
4806,9,9,18
4809,9,9,18
4811,9,9,18
4812,9,9,18
4813,9,9,18
4814,9,9,18
4816,9,9,18
4817,9,9,18
4818,9,9,18
4819 20,9,9,18
4820,9,9,18
4821,9,9,18
4822,9,9,18
4823,9,9,18
5402,9,9,18
5402,9,9,18
5403,9,9,18
5404,9,9,18
5405,9,9,18
5406,9,9,18
5501,9,9,18
5502,9,9,18
5503,9,9,18
5504,9,9,18
5506,9,9,18
5507,9,9,18
5505,9,9,18
56012200,9,9,18
3923,9,9,18
6305,9,9,18
6305 32 00,9,9,18
6401,9,9,18
6402,9,9,18
6403,9,9,18
6404,9,9,18
6405,9,9,18
6406,9,9,18
6501,9,9,18
6502,9,9,18
6504 00 00,9,9,18
6505,9,9,18
6506,9,9,18
6507,9,9,18
6702,9,9,18
6703,9,9,18
6704,9,9,18
6801,9,9,18
6802,9,9,18
6803,9,9,18
6804,9,9,18
6805,9,9,18
6806,9,9,18
6807,9,9,18
6808,9,9,18
6809,9,9,18
6810,9,9,18
6811,9,9,18
6812,9,9,18
6813,9,9,18
6814,9,9,18
6815,9,9,18
6901,9,9,18
6902,9,9,18
6903,9,9,18
6904,9,9,18
6905,9,9,18
6906,9,9,18
6907,9,9,18
6909,9,9,18
6910,9,9,18
6914,9,9,18
7002,9,9,18
7003,9,9,18
7004,9,9,18
7005,9,9,18
7006 00 00,9,9,18
7007,9,9,18
7008,9,9,18
7009,9,9,18
7010,9,9,18
7011,9,9,18
7013,9,9,18
7014,9,9,18
7015,9,9,18
7016,9,9,18
7017,9,9,18
7018,9,9,18
7019,9,9,18
7020,9,9,18
7201,9,9,18
7202,9,9,18
7203,9,9,18
7204,9,9,18
7205,9,9,18
7206,9,9,18
7207,9,9,18
7208,9,9,18
7209,9,9,18
7210,9,9,18
7211,9,9,18
7212,9,9,18
7213,9,9,18
7214,9,9,18
7215,9,9,18
7216,9,9,18
7217,9,9,18
7218,9,9,18
7219,9,9,18
7220,9,9,18
7221,9,9,18
7222,9,9,18
7223,9,9,18
7224,9,9,18
7225,9,9,18
7226,9,9,18
7227,9,9,18
7228,9,9,18
7229,9,9,18
7301,9,9,18
7302,9,9,18
7303,9,9,18
7304,9,9,18
7305,9,9,18
7306,9,9,18
7307,9,9,18
7308,9,9,18
7309,9,9,18
7310,9,9,18
7311,9,9,18
7312,9,9,18
7313,9,9,18
7314,9,9,18
7315,9,9,18
7316,9,9,18
7317,9,9,18
7318,9,9,18
7319,9,9,18
7320,9,9,18
7321,9,9,18
7322,9,9,18
7323,9,9,18
7323 9410,9,9,18
7324,9,9,18
7325,9,9,18
7326,9,9,18
7401,9,9,18
7402,9,9,18
7403,9,9,18
7404,9,9,18
7405,9,9,18
7406,9,9,18
7407,9,9,18
7408,9,9,18
7409,9,9,18
7410,9,9,18
7411,9,9,18
7412,9,9,18
7413,9,9,18
7415,9,9,18
7418,9,9,18
7419,9,9,18
7501,9,9,18
7502,9,9,18
7503,9,9,18
7504,9,9,18
7505,9,9,18
7506,9,9,18
7507,9,9,18
7508,9,9,18
7601,9,9,18
7602,9,9,18
7603,9,9,18
7604,9,9,18
7605,9,9,18
7606,9,9,18
7607,9,9,18
7608,9,9,18
7609,9,9,18
7610,9,9,18
7611,9,9,18
7612,9,9,18
7613,9,9,18
7614,9,9,18
7615,9,9,18
7616,9,9,18
7801,9,9,18
7802,9,9,18
7804,9,9,18
7806,9,9,18
7901,9,9,18
7902,9,9,18
7903,9,9,18
7904,9,9,18
7905,9,9,18
7907,9,9,18
8001,9,9,18
8002,9,9,18
8003,9,9,18
8007,9,9,18
8101,9,9,18
8102,9,9,18
8103,9,9,18
8104,9,9,18
8105,9,9,18
8106,9,9,18
8107,9,9,18
8108,9,9,18
8109,9,9,18
8110,9,9,18
8111,9,9,18
8112,9,9,18
8113,9,9,18
8202,9,9,18
8203,9,9,18
8204,9,9,18
8205,9,9,18
8206,9,9,18
8207,9,9,18
8208,9,9,18
8209,9,9,18
8210 00 00,9,9,18
8212,9,9,18
8213 00 00,9,9,18
8214,9,9,18
8301,9,9,18
8302,9,9,18
8303,9,9,18
8304,9,9,18
8305,9,9,18
8307,9,9,18
8308,9,9,18
8309,9,9,18
8310,9,9,18
8311,9,9,18
84,9,9,18
84,9,9,18
85,9,9,18
8401,9,9,18
8402,9,9,18
8403,9,9,18
8404,9,9,18
8405,9,9,18
8406,9,9,18
8410,9,9,18
8411,9,9,18
8412,9,9,18
8413,9,9,18
8414,9,9,18
8416,9,9,18
8417,9,9,18
